,tweet,tweet_length,tweet_cleaned
3,Ditto. I started @247LS 4 years ago. RT @bmorrissey: I work for a small business. We started during <e>Obama</e>'s term and now have 14 employees.,146,"['Ditto', 'start', 'years', 'ago', 'RT', 'bmorrissey', 'work', 'small', 'business', 'start', 'Obama', 'term', 'employees']"
4,"I absolutely love <e>Obama</e>'s view in <a>immigration</a>, he really tries to sympathize, yet still take care of the issue.",125,"['absolutely', 'love', 'Obama', 'view', 'immigration', 'really', 'try', 'sympathize', 'yet', 'still', 'take', 'care', 'issue']"
5,I'm agreeing completely with <e>Obama</e>'s stance on <a>immigration</a>. Let's go after criminals not students or families. #debate,132,"['agree', 'completely', 'Obama', 'stance', 'immigration', 'Let', 'go', 'criminals', 'students', 'families', 'debate']"
6,<e>Obama</e>'s <a>smile</a> makes me happy.,43,"['Obama', 'smile', 'make', 'happy']"
7,Hahahahahaahahha<e> Obama</e>'s <a>rebuttal</a> got actual crowd reaction. Ballgame,83,"['Hahahahahaahahha', 'Obama', 'rebuttal', 'get', 'actual', 'crowd', 'reaction', 'Ballgame']"
8,"If you think the economy has gotten worse during <e>Obama</e>'s <a>term</a>, please crawl out from under that rock. The recession has been over for while",153,"['think', 'economy', 'get', 'worse', 'Obama', 'term', 'please', 'crawl', 'rock', 'recession']"
9,<e>Obama</e>'s <a>debate performance</a> tonight: about 1000000x better than the first one.,91,"['Obama', 'debate', 'performance', 'tonight', 'better', 'first', 'one']"
10,I like the fact that it's not within <e>Obama</e>'s comfort zone to be rude.,76,"['like', 'fact', 'within', 'Obama', 'comfort', 'zone', 'rude']"
11,President <e>Obama</e>'s <a>policies</a> HAS NOT created any problems.. but he INHERITED these we are debating about! from a previous administration.,149,"['President', 'Obama', 'policies', 'create', 'problems', 'INHERITED', 'debate', 'previous', 'administration']"
12,Loving <e>Obama</e>'s <a>defense of immigration</a>.,52,"['Loving', 'Obama', 'defense', 'immigration']"
13,<e>Obama</e>'s <a>haircut</a> is looking niiiiiice,50,"['Obama', 'haircut', 'look', 'niiiiiice']"
14,Love President <e>Obama</e>'s extemporaneous <a>style of speaking</a> - so conversational.. As if he's speaking directly to you! #substance,139,"['Love', 'President', 'Obama', 'extemporaneous', 'style', 'speak', 'conversational', 'speak', 'directly', 'substance']"
15,Look at <e>Obama</e>'s <a>walk</a> and how he sits in his chair man....Nobody else is smooth like that..Obama was a player in his younger days lol,146,"['Look', 'Obama', 'walk', 'sit', 'chair', 'man', 'Nobody', 'else', 'smooth', 'like', 'Obama', 'player', 'younger', 'days', 'lol']"
16,irrroc: <e>Obama</e>'s <a>spending</a> was necessary to stop us from entering into another depression because Bush put us on the brink of one,141,"['irrroc', 'Obama', 'spend', 'necessary', 'stop', 'us', 'enter', 'another', 'depression', 'Bush', 'put', 'us', 'brink', 'one']"
17,<e>Obama</e>'s on his top <a>game</a> tonight. #townhalldebate,62,"['Obama', 'top', 'game', 'tonight', 'townhalldebate']"
18,The debate isn't even over and <e>Obama</e>'s <a>stats</a> are already going back up.,85,"['debate', 'even', 'Obama', 'stats', 'already', 'go', 'back']"
19,<e>Obama</e>'s <a>response</a> was just perfect #justsaying,59,"['Obama', 'response', 'perfect', 'justsaying']"
20,"Wow, <e>Obama</e>'s <a>response</a> was angry and pointed. The Pres is kicking ass! #debate",91,"['Wow', 'Obama', 'response', 'angry', 'point', 'Pres', 'kick', 'ass', 'debate']"
