,tweet,tweet_length,tweet_cleaned
3,I actually like  <e>Romney </e>'s response to immigration.,58,"['actually', 'like', 'Romney', 'response', 'immigration']"
4,"Just for that <a>immigration statement </a>that  <e>Romney  </e>answered, if I was 18, was enough to get my vote. 👍",115,"['immigration', 'statement', 'Romney', 'answer', 'enough', 'get', 'vote']"
5,This man  <e>Romney  </e>is tearing this dude up on <a>economics</a>,68,"['man', 'Romney', 'tear', 'dude', 'economics']"
6,"<e>Romney  </e>had less to prove, given the last debate. But he didn't back down an inch from the President.",108,"['Romney', 'less', 'prove', 'give', 'last', 'debate', 'back', 'inch', 'President']"
7,"<e>Romney </e>- he comes off as a dumbass, but I love his <a>plan</a> for small and large business owners, and has a great idea on <a>American manufacturing</a>",160,"['Romney', 'come', 'dumbass', 'love', 'plan', 'small', 'large', 'business', 'owners', 'great', 'idea', 'American', 'manufacture']"
8,Great <a>closing</a> by  <e>Romney </e>. Summed it all up very well. #debates,77,"['Great', 'close', 'Romney', 'Summed', 'well', 'debate']"
9,Just ready for  <e>Romney </e> to become president lol,54,"['ready', 'Romney', 'become', 'president', 'lol']"
10,"Get him on his trampling on the Constitution, <e>Mitt</e>. Please",65,"['Get', 'trample', 'Constitution', 'Mitt', 'Please']"
11,Go <e>Romney</e>!!! I'm tired of all this <a>immigration</a> shit!!!,68,"['Go', 'Romney', 'tire', 'immigration', 'shit']"
12,<e>Romney</e> is the shit you people are crazy,46,"['Romney', 'shit', 'people', 'crazy']"
13,<e>ROMNEY</e> IS A BEAST. all his ideas and policies are great. all immigrants have to have a green card or be deported and crack down on them!,143,"['ROMNEY', 'BEAST', 'ideas', 'policies', 'great', 'immigrants', 'green', 'card', 'deport', 'crack']"
14,Way to stick to your guns on illegal immigration #<e>Romney</e> . This country needs a president that care about securing our borders #debate,141,"['Way', 'stick', 'gun', 'illegal', 'immigration', 'Romney', 'country', 'need', 'president', 'care', 'secure', 'border', 'debate']"
15,#debates  <e>Romney</e> is doing as well as he can on immigration.  But his <a>answer</a> on anchor babies getting a path to citizenship is a good one,150,"['debate', 'Romney', 'well', 'immigration', 'answer', 'anchor', 'baby', 'get', 'path', 'citizenship', 'good', 'one']"
16,<e>Romney</e> just solidified his claim for why I'll be voting for him with his take on immigration #Romney2012,111,"['Romney', 'solidify', 'claim', 'vote', 'take', 'immigration']"
17,So <e>Romney</e> wants to pass the @DreamAct.. Its one thing he has said that I am loving tonight #debates,106,"['Romney', 'want', 'pass', 'DreamAct', 'one', 'thing', 'say', 'love', 'tonight', 'debate']"
18,<e>Romney</e> doing a terrific job at #Debate,45,"['Romney', 'terrific', 'job', 'Debate']"
19,<e>Romney</e> for President,27,"['Romney', 'President']"
20,#<e>Romney</e> explaining things even better than 1st #debate. #connecting,74,"['Romney', 'explain', 'things', 'even', 'better', 'debate', 'connect']"
21,"<e>Romney</e> needs to be given a chance, he's won the last debate and he's on top of this one",94,"['Romney', 'need', 'give', 'chance', 'last', 'debate', 'top', 'one']"
22, #<e>Romney</e> #<e>Romney</e> #<e>Romney</e>,45,"['Romney', 'Romney', 'Romney']"
23, #<e>Romney</e>,15,['Romney']
24,<e> Romney</e>/Ryan <a>Believe in America</a>! #whatsurtag,58,"['Believe', 'America', 'whatsurtag']"
25, Mitt <e>Romney</e> that's my guy…,34,"['Mitt', 'Romney']"
26, #WhyDoYouThinkItsOkayTo <a>vote</a> for <e>Romney</e>,54,"['WhyDoYouThinkItsOkayTo', 'vote', 'Romney']"
27, â˜›The #YouthVote is Waking Up! Pew Research Center: <e>Romney</e> gains +10 points in favorability among <a>18-29y</a>/oâ˜š ,126,"['YouthVote', 'Waking', 'Pew', 'Research', 'Center', 'Romney', 'gain', 'point', 'favorability', 'among']"
28, Polls don't mean anything but...RT @WestWingReport Gallup: <e>Romney</e>'s national <a>lead</a> has widened to 4 points.<e> Romney</e> 50,138,"['Polls', 'mean', 'anything', 'RT', 'WestWingReport', 'Gallup', 'Romney', 'national', 'lead', 'widen', 'point', 'Romney']"
29, #debates Go <e>Romney</e>,26,"['debate', 'Go', 'Romney']"
30,<e> Romney</e> needs to display the same energy continue to redefine who is.  And attack the current <a>economic conditions</a>.  Be natural.,141,"['Romney', 'need', 'display', 'energy', 'continue', 'redefine', 'attack', 'current', 'economic', 'condition', 'natural']"
31, I think with another strong performance tonight <e>Romney</e> will <a>win</a>.,79,"['think', 'another', 'strong', 'performance', 'tonight', 'Romney', 'win']"
32, /r/politics [removed] Most polls indicate <e>Romney</e> in a slight <a>lead</a> (poll) with about 47% of votes....must be the 47% ... http://t.co/cHyqdEPA,155,"['remove', 'poll', 'indicate', 'Romney', 'slight', 'lead', 'poll', 'vote', 'must', 'http']"
33,<e> Romney</e> will <a>win</a>. Tell it here: http://t.co/pIKQRbsW and vote !!!http://t.co/UTSZ76R6,99,"['Romney', 'win', 'Tell', 'http', 'vote', 'http']"
34, I'm going to move to Canada if Mitt <e>Romney</e> <a>wins</a>,62,"['go', 'move', 'Canada', 'Mitt', 'Romney', 'win']"
35,<e> Romney</e> is <a>winning</a>? GOOD.,39,"['Romney', 'win', 'GOOD']"
36, Morgan for Mitt: CNN Star Says <e>Romney</e> 'Might Just <a>Save America</a>' http://t.co/xEAmcS1o #ohio #columbus #lancaster #akron #abc,138,"['Morgan', 'Mitt', 'CNN', 'Star', 'Says', 'Romney', 'Save', 'America', 'http', 'ohio', 'columbus', 'lancaster', 'akron', 'abc']"
37, Bainport to <e>Romney</e>: Save Our <a>Jobs</a>! #1u #p2 #labor #Sensata http://t.co/XwXHsFQm,94,"['Bainport', 'Romney', 'Save', 'Jobs', 'labor', 'Sensata', 'http']"
38, @FightForJobs <a>vote</a> for <e>romney</e> not the socialist pig,66,"['FightForJobs', 'vote', 'romney', 'socialist', 'pig']"
39, Read up on #<e>romney</e>'s <a>incredible</a> plan to <a>cut taxes</a> by $5 trillion! http://t.co/wIYnelrI,108,"['Read', 'romney', 'incredible', 'plan', 'cut', 'tax', 'trillion', 'http']"
40, <e>romney</e>'s <a>Tax Plan</a>. <a>Brilliant</a>. http://t.co/7PJNgWqE,72,"['romney', 'Tax', 'Plan', 'Brilliant', 'http']"
41, Mitt #<e>romney</e>'s tax plan adds up to a #tax hike for the <a>middle class</a>. Here's the math:  http://t.co/lhMwzn29,122,"['Mitt', 'romney', 'tax', 'plan', 'add', 'tax', 'hike', 'middle', 'class', 'math', 'http']"
42, Freeport City Council Votes Unanimously to Call On Mitt <e>romney</e> to Save #<a>Sensata Jobs</a>! http://t.co/54iDUiId via @youtube #FightForJobs,148,"['Freeport', 'City', 'Council', 'Votes', 'Unanimously', 'Call', 'Mitt', 'romney', 'Save', 'Sensata', 'Jobs', 'http', 'via', 'youtube', 'FightForJobs']"
43, @Lynx60C Yes!! <e>romney</e> better <a>win</a>!!! ;D,53,"['Yes', 'romney', 'better', 'win']"
44, c'mon <e>romney</e>!!!!,24,['romney']
45, Lmfao. This is amazing. #<e>romney</e> http://t.co/yUhor12S,60,"['Lmfao', 'amaze', 'romney', 'http']"
46, It all makes sense now.  http://t.co/gCLrhE9H #<e>romney</e>,61,"['make', 'sense', 'http', 'romney']"
47," ""@Kalekeni_K: I'm a <e>romney</e> man"" eeh!!",45,"['Kalekeni_K', 'romney', 'man', 'eeh']"
48, <e>romney</e> finally released his <a>tax plan</a> & it's even better than I expected! Most <a>honest</a> from any politician to date: http://t.co/gMVlU15C,156,"['romney', 'finally', 'release', 'tax', 'plan', 'even', 'better', 'expect', 'honest', 'politician', 'date', 'http']"
49, I'm so excited to watch the <a>Presidential debate</a> tonight! #<e>romney</e>,79,"['excite', 'watch', 'Presidential', 'debate', 'tonight', 'romney']"
50,<a> Swing States</a> poll: <a>Women</a> push <e>romney</e> into lead http://t.co/dNpbSYVV via @USAToday,103,"['Swing', 'States', 'poll', 'Women', 'push', 'romney', 'lead', 'http', 'via', 'USAToday']"
51, This Ohio Mom is <a>Voting</a> for Mitt <e>romney</e> http://t.co/5MrJkXeN via @akronohiomoms,94,"['Ohio', 'Mom', 'Voting', 'Mitt', 'romney', 'http', 'via', 'akronohiomoms']"
52, via Gallup: <e>romney</e> expands <a>lead</a> among <a>likely voters</a> now up by four http://t.co/jQ8uiv9Iâ€,112,"['via', 'Gallup', 'romney', 'expand', 'lead', 'among', 'likely', 'voters', 'four', 'http']"
53," @Mitt<e>romney</e> best of luck tonight. We are very proud of you and look forward to ""<a>President</a> Mitt <e>romney</e>""http://t.co/4wqb01T0",144,"['Mittromney', 'best', 'luck', 'tonight', 'proud', 'look', 'forward', 'President', 'Mitt', 'romney', 'http']"
54, American Voices: <a>Ross Perot</a> Endorses <e>romney</e> http://t.co/S66ayTCP #TheOnion,89,"['American', 'Voices', 'Ross', 'Perot', 'Endorses', 'romney', 'http', 'TheOnion']"
55, <a>Swing States</a> poll: <a>Women</a> push <e>romney</e> into lead> http://t.co/tu5hmVDj Awwwww :( #Sux2bBarry after a debate.#tcot #p2@calickizzle,149,"['Swing', 'States', 'poll', 'Women', 'push', 'romney', 'lead', 'http', 'Awwwww', 'debate', 'tcot', 'calickizzle']"
56, Sen. Rob Portman: <e>romney</e> â€˜Probablyâ€™ Could <a>Win</a> Election Without Ohio â€“ KKOH,95,"['Sen', 'Rob', 'Portman', 'romney', 'Could', 'Win', 'Election', 'Without', 'Ohio', 'KKOH']"
57, @aaronmiller19 I want mitt <e>romney</e> for <a>president</a>.,63,"['want', 'mitt', 'romney', 'president']"
58, U want a pres that doesnt want to bring troops home fr <a>Afghanistan</a> vote fr <e>romney</e>. U want a pres who brings troops home by'14 vote fr <e>obama</e>,161,"['U', 'want', 'pres', 'doesnt', 'want', 'bring', 'troop', 'home', 'fr', 'Afghanistan', 'vote', 'fr', 'romney', 'U', 'want', 'pres', 'bring', 'troop', 'home', 'vote', 'fr', 'obama']"
59, The #<e>romney</e>Recovery starts on November 6. Let's <a>elect</a> <e>romney</e> to give <a>businesses</a> the confidence and certainty they need to start hiring again,169,"['romneyRecovery', 'start', 'November', 'Let', 'elect', 'romney', 'give', 'businesses', 'confidence', 'certainty', 'need', 'start', 'hire']"
60, @HeyGeno @meredithfo Think abt GE and BHO. <e>romney</e>.He knows how to <a>make money</a>. your Preez knows how to Squander money,131,"['HeyGeno', 'meredithfo', 'Think', 'abt', 'GE', 'BHO', 'know', 'make', 'money', 'Preez', 'know', 'Squander', 'money']"
61, I'm a republican <a>votin'</a> for Mitt <e>romney</e>,54,"['republican', 'votin', 'Mitt', 'romney']"
62, Gallupâ€™s Likely Voters Poll has <e>romney</e> <a>Winning</a> 50-46. Could this be a game-changer for the election? http://t.co/vgwl1Xry #Election2012,152,"['Likely', 'Voters', 'Poll', 'romney', 'Winning', 'Could', 'election', 'http']"
63, <e>romney</e> surges among rural voters in <a>swing states</a> http://t.co/8UEQStp8 <a>SEATTLE</a> POLITICS,108,"['romney', 'surge', 'among', 'rural', 'voters', 'swing', 'state', 'http', 'SEATTLE', 'POLITICS']"
64, FINALLY !!! <e>romney</e>'s <a>Tax Plan</a>. THIS IS BIG #NEWS !!! http://t.co/GshYLFK0 #<e>romney</e> #TaxPlan,112,"['FINALLY', 'romney', 'Tax', 'Plan', 'BIG', 'NEWS', 'http', 'romney', 'TaxPlan']"
65, Poll: <e>romney</e> Leads by 22 in Rural <a>Swing Counties</a> http://t.co/kwZaRcO3 #RWNJAlert,95,"['Poll', 'romney', 'Leads', 'Rural', 'Swing', 'Counties', 'http', 'RWNJAlert']"
66,<a> Victory Rally</a> with Mitt <e>romney</e> And Country Music Star <a>Lee Greenwood</a> In Chesapeake Virginia On Wednesday,125,"['Victory', 'Rally', 'Mitt', 'romney', 'Country', 'Music', 'Star', 'Lee', 'Greenwood', 'Chesapeake', 'Virginia', 'Wednesday']"
67,<a>Good luck</a> and God bless Mitt Romney #CantAfford4More #MittYouGotThis #RomneyRyan2012 #debate2012,103,"['Good', 'luck', 'God', 'bless', 'Mitt', 'Romney', 'MittYouGotThis']"
68,@ceceladyceo @blackrepublican @<e>romney</e> ... MUCH better than under the <a>current administration</a>.,106,"['ceceladyceo', 'blackrepublican', 'romney', 'MUCH', 'better', 'current', 'administration']"
69,@theblaze How can <e>Romney</e> <a>keep from winning</a> tonight with the <a>truth and all the prayers being offered</a> don his behalf?,136,"['theblaze', 'Romney', 'keep', 'win', 'tonight', 'truth', 'prayers', 'offer', 'behalf']"
70,Why are you afraid of #<a>Freedom </a>&amp; #Liberty? @realDonaldTrump #GaryJohnson pulling votes from @Mitt<e>Romney</e> <a>Don't waste your vote</a> <e>Obama</e> must go!,172,"['afraid', 'Freedom', 'amp', 'Liberty', 'realDonaldTrump', 'GaryJohnson', 'pull', 'vote', 'MittRomney', 'waste', 'vote', 'Obama', 'must', 'go']"
71,"@DRUDGE_REPORT CEO's, millionaires and billionaires <a>donate</a> to <e>Romney</e> and then opine on the election.",114,"['DRUDGE_REPORT', 'CEO', 'millionaires', 'billionaires', 'donate', 'Romney', 'opine', 'election']"
